NOMBRE;PRECIO;PANTALLA;DISCO;CPU;MEMORIA;VALORACION
"Lenovo IdeaPad 3 - Ordenador Portátil 15.6"" FullHD (Intel Core i3-1005G1, 8GB RAM, 512GB SSD, Intel UHD Graphics, Sin Sistema Operativo) Gris - Teclado QWERTY Portugués (81WE01R7PG)";159;[];[];[];[];
Samsung LF24T352FHRXEN - Monitor de 24'' FullHD (1920x1080, IPS, 75Hz, 5ms, AMD Freesync, HDMI, VGA,16:9, Gaming, Eye-saver mode, Flicker Free), Negro;24,99;24;[];[];[];
mCover Carcasa rígida para Microsoft Surface Go de 12,4 pulgadas, color negro;242,49;16;[];[];[];
Jectse Laptop de 16 Pulgadas, 2.4G 5G WiFi de Doble Banda, Pantalla LCD HD IPS, Computadora Portátil con CPU de Cuatro Núcleos de 12 GB de RAM, Computadora Portátil Azul de 5000 MAh Compa (12GB+128GB;41,06;13.3;[];[];[];
STILORD 'Wilson' Funda Portatil Piel para MacBook 13,3 Pulgadas Estilo Vintage para Tablet Laptop de 13 14' Portafolio DIN A4 Bolsa Protectora de Cuero, Color:Kara - Cognac;1.343,33;14;[];[];8;
MXGZ Laptop Portátil, 100‑240V 16G 256G 15.6 Pulgadas Laptop Quad Core Quad Thread Silver para el Hogar (16+256G Normativas Europeas);416,54;15.6;[];[];1;4.4
Fuwe Laptop de 15.6in, 1920x1080 100-240V Laptop Portátil 7000mAh para Estudio para Windows 11 (16+1 TB Enchufe de la UE Máximo 30W);219,99;15.6;[];[];[];2.8
Fuwe Inicio Laptop Laptop 15.6 Pulgadas 2.4G 5G WiFi para Windows10 1920x1080 IPS Travel (16+512G Enchufe de la UE);427,59;15.6;[];[];[];3.5
AUHX Laptop Portátil, para Windows 11 16G 256G 15.6in Laptop para Trabajo (16+256G Enchufe de la UE Máximo 30W);690;15.6;[];[];1;
Annadue 13.3 Zoll Laptop, 16GB RAM 256GB SSD Windows 11 Laptop, 1920x1080 IPS Pantalla Táctil, Rotación de 360 Grados, 2.4G+5G WiFi, Desbloqueo de Huellas Dactilares;505,08;13.3;[];[];1;
Tuore Laptop, Dual Band 2.4GHz 5GHz 100-240V Teclado Retroiluminado 1920x1080 15.6in Laptop para Windows 11 para Estudio (16+128G Enchufe de la UE Máximo 30W);714,99;15.6;[];[];1;5.0
